;word;frequency;category;;Colors
10336;footpr;4;climate;;
10371;carbonzero;4;climate;;
10386;bpnetzero;4;climate;;
10395;harvesting;4;climate;;
10408;everybodytogether;4;climate;;
10427;climateju;4;climate;;
10455;schoolstrikeforclimate;4;climate;;
10474;netsdownfornature;4;climate;;
10502;biodiversitycrisis;4;climate;;
10595;pollutersoutnow;4;climate;;
10627;thetruthaboutzane;4;climate;;
10698;xrcamden;4;climate;;
10720;earthdayathome;4;climate;;
10745;xrsuttonreconnectwithnature;4;climate;;
10766;fighteverycrisis;4;climate;;
10820;ournatureisnotyoursolution;4;climate;;
10821;reclaimthestreets;4;climate;;
10834;notolbaexpansion;4;climate;;
10835;nogoingbacksunday;4;climate;;
10836;lovewildlifeaxedrax;4;climate;;
10837;bioidversityday;4;climate;;
10839;thestoryofplastic;4;climate;;
10882;climateactionpledge;3;climate;;
10883;voteforyourkid;3;climate;;
10894;extinctionrebellionwrexham;3;climate;;
10909;feedinforfuture;3;climate;;
10934;treeplantingaction;3;climate;;
10935;thebigclimatefightback;3;climate;;
10940;endfossilfuel;3;climate;;
10984;climatologist;3;climate;;
10985;climatestrik;3;climate;;
11005;votefortheplanet;3;climate;;
11017;votefornature;3;climate;;
11049;cryosphere;3;climate;;
11077;natureemergency;3;climate;;
11129;fracker;3;climate;;
11138;makeecocidelaw;3;climate;;
11156;biodiversified;3;climate;;
11170;humanbuying;3;climate;;
11171;firedrillfriday;3;climate;;
11173;youthquake;3;climate;;
11199;oildrilling;3;climate;;
11233;geoengineering;3;climate;;
11241;filmstrikeforclimate;3;climate;;
11245;precautionaryprinciple;3;climate;;
11267;emiss;3;climate;;
11299;zerocarbonwale;3;climate;;
11305;entomologist;3;climate;;
11337;climateheroe;3;climate;;
11350;sustainablefashion;3;climate;;
11355;australianbushfiresdisaster;3;climate;;
11357;rebels;3;climate;;
11358;xruktwitter;3;climate;;
11430;environmentaljustice;3;climate;;
11482;kangaroos;3;climate;;
11507;extremenonviolence;3;climate;;
11508;extremestandingaroundinthecold;3;climate;;
11509;extremebannerwaving;3;climate;;
11516;horticultural;3;climate;;
11526;wildlifewednesday;3;climate;;
11527;crimesagainsthumanity;3;climate;;
11530;parentsforfutureswlondon;3;climate;;
11561;justtransitionalready;3;climate;;
11562;fuel_industry;3;climate;;
11610;ecoeconomic;3;climate;;
11650;ethnocide;3;climate;;
11678;futuresgoingupinsmoke;3;climate;;
11736;animalrebellion;3;climate;;
11899;dehydration;3;climate;;
11904;worldwetlandsday;3;climate;;
11918;nomorebusinessasusual;3;climate;;
11930;xrsutton;3;climate;;
11939;stopbristolairportexpansio;3;climate;;
11953;xrnewark;3;climate;;
11955;organically;3;climate;;
11962;guardiansoflife;3;climate;;
11981;plasticfreesea;3;climate;;
11998;stopbristolairportexpansi;3;climate;;
12065;climateactionn;3;climate;;
12069;saynotothemow;3;climate;;
12094;clientearth;3;climate;;
12095;globalclimatejustice;3;climate;;
12101;worldpangolinday;3;climate;;
12104;climatebreakd;3;climate;;
12107;multigenerational;3;climate;;
12123;extinctionreb;3;climate;;
12134;extinctionrebelion;3;climate;;
12211;wearethedeadcanarie;3;climate;;
12212;golightly;3;climate;;
12214;communityclimatehub;3;climate;;
12251;emissions;3;climate;;
12260;holocene;3;climate;;
12279;xrhounslow;3;climate;;
12280;thegreatnhsheist;3;climate;;
12308;climateandecolo;3;climate;;
12350;extinguisher;3;climate;;
12516;greenspace;3;climate;;
12525;fridaysforfutur;3;climate;;
12528;ecofacism;3;climate;;
12559;gardeningisnotcancelle;3;climate;;
12575;motherearth;3;climate;;
12606;extinctionrebellio;3;climate;;
12622;ecosy;3;climate;;
12682;bioenergy;3;climate;;
12719;thetideskeeprise;3;climate;;
12732;oilspill;3;climate;;
12760;climatechang;3;climate;;
12768;thisisadrill;3;climate;;
12781;earthdayswi;3;climate;;
12782;earthweek;3;climate;;
12798;aprilrebellion;3;climate;;
12811;greencoronarecovery;3;climate;;
12830;petrofertilizer;3;climate;;
12861;guerrillasunflower;3;climate;;
12865;closedforchange;3;climate;;
12870;rewildlondon;3;climate;;
12892;natureneedsheroe;3;climate;;
12895;worldenvironmentday;3;climate;;
12912;deforest;3;climate;;
12913;sunscreen;3;climate;;
12919;reclaimourstreet;3;climate;;
12944;cyclingforcleanair;3;climate;;
12970;climatespiral;3;climate;;
12974;safecycling;3;climate;;
12982;citizensasse;3;climate;;
11349;australiaburns;3;climate;;
11393;firestorm;3;climate;;
11984;bpmus;3;climate;;
13007;voteplanet;2;climate;;
13010;dontpolluterepublicday;2;climate;;
13017;environmentalemergency;2;climate;;
13028;climateact;2;climate;;
13032;stateofclimate;2;climate;;
13063;beeyondpolitic;2;climate;;
13071;plantatree;2;climate;;
